
=== CASOS VALIDOS ===

85, 92, 78, 88, 95, 75, 82, 90
99, 99, 55, 55, 88, 88, 77, 77
0, 1, 3, 4, 5, 6, 7, 8
10, 20, 30, 40, 50, 60, 70, 80
95, 85, 75, 45, 15, 25, 35, 65
70, 71, 72, 73, 74, 75, 76, 78
95, 96, 97, 98, 99, 94, 93, 92
41, 42, 43, 44, 45, 46, 47, 48
69, 70, 71, 72, 73, 74, 75, 76
78, 79, 80, 81, 82, 83, 84, 85
86, 87, 88, 89, 90, 91, 92, 93
94, 95, 96, 97, 98, 99, 100, 100

=== CASOS INVALIDOS ===

85, 92, 78, 88, 95, 75, 82, NOVENTA
99, 99, -55, 55, 88, 88, 77, 77
0, 1, 3, 4, 5, 6, 7, -8
10, 20, treinta, 40, 50, 60, 70, 80
95, 85, 75, 45, 15, 250, 35, 65
70, 71, 72, 730, 74, 75, 76, 78
95, 96, 97, cuarenta, 99, 94, 93, 92
41, 42, 43, 44, 45, 46, -47, 48
69, 70, 71, 725, 73, 74, 750, 76
78, 79, 80, 818, 82, 83, 84, 85
86, 87, 88, ocho, 90, 91, 92, 93
94, 95, 96, 97, cinco, 99, 10, 100
